Region,Employment Status,Income,Number of Child(ren),Tax,Religion,Gender
West,Unemployed,81.1965,7,6.07,Christianity,Male
West,Self Employed,99.924,4,5.27,Christianity,Female
North,Self Employed,25.704,3,4.92,Atheist,Male
West,Employed,33.8415,7,4.65,Islam,Female
East,Self Employed,33.966,3,3.6,Christianity,Male
East,Self Employed,26.928,1,3.4,Christianity,Male
West,Unemployed,14.355,2,2,Islam,Female
West,Self Employed,26.4,1,1.62,Christianity,Male
West,Self Employed,871.182,4,59.11,Christianity,Female
East,Unemployed,118.665,6,24.73,Islam,Male
West,Self Employed,454.08,4,22.73,Christianity,Male
East,Employed,141.882,2,17.64,Atheist,Female
West,Self Employed,23.529,2,1.79,Christianity,Male
South,Self Employed,138.402,3,1.51,Christianity,Female
West,Self Employed,21.648,4,1.36,Christianity,Male
West,Self Employed,8.2335,1,1.35,Christianity,Male
West,Self Employed,20.427,1,1.34,Christianity,Female
West,Self Employed,50.5155,7,1.22,Christianity,Male
West,Self Employed,34.287,2,1.15,Christianity,Female
West,Self Employed,1428.3,4,50.47,Christianity,Male
West,Self Employed,451.1295,3,49.09,Christianity,Male
North,Self Employed,51.54,1,9.06,Islam,Female
West,Unemployed,720,6,32.21,Christianity,Male
West,Unemployed,486.12,4,22.63,Christianity,Female
West,Unemployed,171.69,1,7.23,Christianity,Male
West,Unemployed,17.61,1,1.5,Christianity,Male
West,Unemployed,1031.82,2,69.17,Christianity,Female
West,Unemployed,529.98,2,24.85,Christianity,Male
West,Unemployed,378.45,1,23.14,Christianity,Female
West,Unemployed,236.4,8,21.47,Christianity,Male
West,Self Employed,182.07,1,16.18,Islam,Male
West,Self Employed,109.08,4,11.37,Traditional,Female
East,Self Employed,23.79,1,4.15,Atheist,Male
West,Self Employed,50.7,1,3.73,Christianity,Female
West,Unemployed,33,2,2.45,Christianity,Male
West,Self Employed,52.8,4,2.1,Christianity,Male
West,Self Employed,6.03,1,1.89,Islam,Female
West,Unemployed,23.46,1,1.89,Christianity,Male
West,Unemployed,17.61,1,1.38,Christianity,Female
West,Self Employed,19.71,1,1.36,Christianity,Male
East,Unemployed,80.97,1,1.1,Christianity,Male
West,Employed,995.28,4,36.84,Christianity,Female
West,Employed,134.91,1,13.75,Christianity,Male
West,Employed,94.8,2,2.75,Christianity,Female
West,Employed,27.6,4,2.3,Christianity,Male
West,Employed,24.93,1,2.06,Christianity,Male
West,Employed,77.04,2,2.04,Christianity,Female
North,Self Employed,499.56,1,81.72,Atheist,Male
East,Self Employed,288,4,26.69,Islam,Female
West,Employed,244.98,6,21.7,Christianity,Male
North,Self Employed,648.24,8,19.64,Islam,Male
North,Self Employed,47.01,1,17.67,Atheist,Female
North,Self Employed,71.67,1,11.9,Christianity,Male
North,Self Employed,48.78,1,11.89,Islam,Female
West,Employed,200.64,4,10.2,Christianity,Male
West,Self Employed,58.83,1,7.4,Islam,Male
West,Unemployed,88.44,1,6.81,Christianity,Female
West,Self Employed,38.7,2,6.58,Traditional,Male
West,Self Employed,48.48,1,6.03,Islam,Female
West,Employed,98.04,4,5.44,Christianity,Male
West,Self Employed,74.76,14,4.9,Traditional,Male
East,Unemployed,59.19,1,3.53,Christianity,Female
North,Self Employed,53.28,2,3.45,Islam,Male
East,Unemployed,29.67,1,3.31,Islam,Female
North,Self Employed,25.2,1,2.57,Islam,Male
West,Self Employed,18.93,1,2.18,Traditional,Male
West,Self Employed,17.01,1,1.81,Traditional,Female
West,Self Employed,6.99,1,1.68,Islam,Male
West,Employed,25.05,1,1.61,Christianity,Female
West,Employed,12.42,1,1.54,Christianity,Male
West,Employed,10.41,1,1.52,Christianity,Male
West,Employed,16.98,1,1.29,Christianity,Female
West,Employed,34.65,1,1.28,Christianity,Male
East,Employed,415.62,2,26.96,Christianity,Female
East,Self Employed,83.34,1,10.53,Christianity,Male
North,Self Employed,1188.36,4,302.14,Islam,Male
West,Employed,1743.96,4,220.39,Christianity,Female
West,Unemployed,1140.3,2,113.5,Christianity,Male
West,Unemployed,474.48,12,43.56,Christianity,Female
South,Self Employed,200.4,8,20.26,Christianity,Male
South,Self Employed,64.08,6,15.91,Christianity,Male
North,Unemployed,187.02,6,12.36,Islam,Female
South,Self Employed,58.68,4,11.67,Christianity,Male
West,Unemployed,154.98,6,10.52,Christianity,Female
South,Self Employed,44.13,1,9.3,Christianity,Male
North,Unemployed,41.43,1,8.67,Islam,Male
West,Employed,97.56,2,6.9,Christianity,Female
West,Unemployed,85.44,2,6.89,Christianity,Male
West,Unemployed,99.96,2,6.22,Christianity,Female
North,Self Employed,64.08,4,6.21,Islam,Male
West,Employed,57,2,6.18,Christianity,Male
South,Self Employed,57.36,2,5.71,Christianity,Female
West,Unemployed,52.92,1,4.78,Christianity,Male
North,Self Employed,24.69,1,4.59,Islam,Female
South,Self Employed,56.7,2,2.78,Christianity,Male
North,Unemployed,13.29,1,2.39,Islam,Male
South,Self Employed,22.68,2,2.03,Christianity,Female
North,Self Employed,6.03,1,1.27,Islam,Male
West,Self Employed,51.6,4,2.1,Christianity,Female
West,Self Employed,197.76,8,15,Christianity,Male
West,Self Employed,176.1,10,12.93,Christianity,Male
West,Self Employed,100.74,2,3.24,Christianity,Female
West,Self Employed,28.44,2,1.97,Christianity,Male
West,Self Employed,110.22,1,5.41,Christianity,Female
West,Self Employed,62.07,1,3.56,Islam,Male
West,Self Employed,4.77,1,1.34,Islam,Male
East,Self Employed,364.32,1,38.58,Christianity,Female
North,Employed,99.96,2,23.57,Christianity,Male
West,Unemployed,171.51,1,17.65,Islam,Female
North,Employed,139.77,1,9.55,Christianity,Male
West,Unemployed,46.32,4,7.8,Islam,Male
East,Unemployed,118.05,1,7.74,Islam,Female
West,Employed,102.54,2,6.79,Christianity,Male
West,Unemployed,20.07,1,2.11,Islam,Female
West,Unemployed,12.9,1,1.79,Islam,Male
North,Self Employed,272.76,2,49.9,Islam,Male
North,Self Employed,27.18,2,3.91,Islam,Female
West,Self Employed,533.22,2,48.53,Christianity,Male
North,Self Employed,388.08,2,34.28,Christianity,Female
East,Unemployed,415.62,2,27.69,Christianity,Male
East,Self Employed,243,4,20.88,Islam,Male
West,Employed,149.28,2,20.36,Traditional,Female
East,Self Employed,198.42,1,15.37,Christianity,Male
West,Self Employed,169.8,1,13.23,Christianity,Female
West,Unemployed,252.06,2,12.81,Christianity,Male
West,Self Employed,143.76,8,12.65,Christianity,Male
West,Self Employed,148.74,1,11.23,Christianity,Female
North,Employed,23.16,1,10.5,Atheist,Male
West,Employed,61.2,1,9.85,Traditional,Female
East,Self Employed,206.4,1,9.62,Christianity,Male
East,Employed,203.16,4,9.48,Christianity,Male
East,Self Employed,48.84,4,9.33,Islam,Female
South,Unemployed,41.7,1,8.89,Islam,Male
East,Employed,58.08,4,7.8,Christianity,Female
West,Self Employed,47.7,2,7.56,Islam,Male
East,Self Employed,40.92,1,7.1,Islam,Male
South,Unemployed,141.6,1,6.54,Islam,Female
East,Self Employed,97.32,2,6.09,Islam,Male
West,Unemployed,48,1,5.17,Christianity,Female
East,Self Employed,33.3,2,4.92,Islam,Male
North,Unemployed,41.28,1,4.87,Islam,Male
West,Unemployed,48.09,1,4.29,Islam,Female
South,Self Employed,23.52,1,4,Islam,Male
North,Unemployed,113.91,1,3.86,Islam,Female
West,Self Employed,35.04,2,3.37,Christianity,Male
West,Self Employed,35.37,1,3.31,Christianity,Male
West,Employed,42.15,1,3.05,Traditional,Female
West,Employed,22.05,1,2.75,Islam,Male
West,Self Employed,47.64,1,2.64,Christianity,Female
South,Self Employed,13.38,1,2.19,Islam,Male
East,Employed,19.35,1,2.12,Christianity,Male
North,Employed,28.8,2,2.09,Atheist,Female
West,Self Employed,28.38,2,1.71,Christianity,Male
West,Self Employed,14.28,1,1.2,Christianity,Female
East,Self Employed,10.92,1,1.2,Islam,Male
West,Employed,10.26,1,1.13,Islam,Male
West,Employed,24.51,1,2.94,Islam,Female
West,Employed,27.93,1,2.7,Islam,Male
West,Self Employed,1421.52,8,67.38,Christianity,Female
West,Self Employed,124.68,4,7.05,Christianity,Male
West,Self Employed,38.31,1,1.97,Christianity,Male
West,Self Employed,11.37,1,1.88,Christianity,Female
West,Employed,9,1,1.5,Christianity,Male
West,Self Employed,13.11,1,1.42,Christianity,Female
West,Self Employed,283.2,2,17.83,Christianity,Male
West,Self Employed,162.96,2,11.03,Christianity,Male
West,Self Employed,169.68,1,11,Christianity,Female
East,Self Employed,87.78,2,10.51,Islam,Male
West,Unemployed,68.07,1,9.53,Islam,Female
West,Self Employed,67.98,1,5.81,Christianity,Male
West,Self Employed,94.02,2,3.14,Christianity,Male
West,Self Employed,51.78,1,2.93,Christianity,Female
West,Self Employed,57.48,4,1.77,Christianity,Male
East,Unemployed,858.96,6,112.45,Christianity,Female
West,Unemployed,509.88,4,41.89,Christianity,Male
West,Unemployed,385.86,2,29.88,Christianity,Male
East,Self Employed,410.22,1,27.41,Christianity,Female
West,Self Employed,312.21,1,24.67,Christianity,Male
West,Self Employed,107.46,2,10.3,Christianity,Female
West,Employed,71.22,1,9.58,Traditional,Male
West,Self Employed,193.8,4,7.21,Christianity,Male
West,Employed,48.48,1,6.61,Traditional,Female
East,Self Employed,30.69,1,3.48,Christianity,Male
West,Employed,28.56,2,3.32,Islam,Female
West,Employed,25.05,1,2.81,Traditional,Male
East,Unemployed,20.82,2,1.44,Christianity,Male
West,Self Employed,414.72,2,77.24,Islam,Female
East,Employed,495.42,2,74,Islam,Male
West,Self Employed,308.16,6,29.43,Islam,Female
West,Self Employed,54,2,9.38,Islam,Male
East,Employed,14.43,1,3.63,Islam,Male
West,Employed,637.35,1,60.18,Christianity,Female
West,Employed,388.68,4,36.76,Christianity,Male
East,Employed,402.72,8,30.21,Christianity,Female
West,Employed,274.44,4,19.88,Christianity,Male
East,Employed,333,4,15.62,Christianity,Male
West,Employed,107.28,6,5.54,Christianity,Female
West,Self Employed,56.82,1,2.92,Christianity,Male
West,Employed,23.4,1,2.16,Christianity,Female
East,Employed,47.1,2,1.95,Christianity,Male
West,Employed,364.74,1,14.94,Christianity,Male
East,Employed,14.34,1,4.45,Atheist,Female
West,Employed,68.31,1,4.43,Christianity,Male
North,Employed,1977.72,4,759.47,Atheist,Female
North,Employed,51.6,2,17.93,Atheist,Male
West,Employed,109.95,1,7.09,Christianity,Male
West,Self Employed,86.07,1,3.97,Christianity,Female
West,Self Employed,51.27,1,1.75,Christianity,Male
East,Employed,102.48,1,32.06,Islam,Female
West,Self Employed,71.52,4,4.59,Christianity,Male
East,Employed,561.3,2,28.25,Islam,Male
East,Employed,207.81,1,15.28,Islam,Female
East,Employed,16.86,1,2.26,Islam,Male
East,Employed,15.12,1,2.23,Islam,Female
North,Self Employed,445.62,1,129.37,Atheist,Male
North,Self Employed,147.84,4,54.45,Atheist,Male
North,Self Employed,13.65,1,2.16,Atheist,Female
North,Unemployed,114.81,1,20.36,Islam,Male
North,Unemployed,53.76,2,8.58,Islam,Female
West,Employed,26.22,2,1.99,Traditional,Male
West,Self Employed,22.86,2,1.93,Christianity,Male
West,Employed,295.65,1,12.1,Christianity,Female
East,Unemployed,991.02,2,176.54,Christianity,Male
East,Employed,968.4,8,172.29,Atheist,Female
East,Unemployed,1021.14,6,72.56,Christianity,Male
South,Self Employed,313.44,1,49.51,Islam,Male
South,Self Employed,281.88,2,42.3,Islam,Female
West,Unemployed,497.4,10,37.41,Christianity,Male
East,Unemployed,47.49,1,6.1,Christianity,Female
East,Unemployed,65.13,1,5.9,Christianity,Male
East,Unemployed,60.54,2,5.16,Christianity,Male
West,Unemployed,43.47,1,3.68,Traditional,Female
East,Unemployed,42.06,1,3.34,Christianity,Male
West,Unemployed,20.01,1,2.68,Traditional,Female
West,Self Employed,58.11,1,2.65,Christianity,Male
West,Self Employed,8.58,1,1.89,Christianity,Male
West,Employed,22.47,1,1.89,Christianity,Female
West,Self Employed,11.07,1,1.86,Christianity,Male
East,Unemployed,14.52,1,1.1,Christianity,Female
East,Unemployed,10.65,1,1.1,Christianity,Male
West,Unemployed,18.9,1,1.09,Christianity,Male
North,Employed,338.4,4,50.1,Christianity,Female
North,Employed,108.6,1,19.21,Christianity,Male
East,Self Employed,489,4,59.5,Islam,Female
West,Self Employed,148.17,1,22.97,Traditional,Male
East,Self Employed,250.74,6,21.54,Islam,Male
West,Self Employed,55.92,2,9.36,Traditional,Female
East,Self Employed,44.43,1,6.45,Islam,Male
East,Self Employed,29.58,1,5.4,Islam,Female
East,Self Employed,22.14,1,2.81,Islam,Male
North,Self Employed,923.76,1,72.12,Islam,Male
North,Self Employed,146.82,1,37.98,Islam,Female
North,Self Employed,308.34,1,26.14,Islam,Male
East,Employed,34.2,2,6.26,Islam,Female
North,Self Employed,24.84,2,4.36,Islam,Male
North,Self Employed,151.98,1,19.08,Christianity,Male
West,Employed,244.98,2,17.02,Christianity,Female
West,Self Employed,81.69,1,11.94,Traditional,Male
West,Self Employed,123.72,2,5.2,Traditional,Female
West,Self Employed,9.84,1,1.95,Traditional,Male
South,Employed,199.32,4,25.18,Christianity,Male
West,Employed,143.13,1,9.25,Christianity,Female
South,Employed,109.8,4,4.99,Christianity,Male
West,Self Employed,280.44,6,34.39,Islam,Female
West,Self Employed,69.96,4,8.68,Islam,Male
West,Self Employed,39.96,2,4.1,Islam,Male
West,Self Employed,25.47,1,3.13,Islam,Female
West,Self Employed,50.37,1,2.01,Islam,Male
West,Self Employed,13.68,1,1.64,Islam,Female
West,Self Employed,11.91,1,1.62,Islam,Male
West,Self Employed,18.12,1,1.48,Islam,Male
East,Unemployed,13.32,1,1.39,Christianity,Female
West,Self Employed,13.68,1,1.3,Islam,Male
West,Self Employed,341.475,5,20.46,Christianity,Female
West,Employed,274.68,4,35.46,Islam,Male
West,Self Employed,186.3,5,14.47,Christianity,Male
West,Self Employed,1277.82,4,105.57,Christianity,Female
East,Employed,205.44,8,32.75,Islam,Male
West,Self Employed,395.82,4,32.32,Christianity,Female
East,Employed,16.95,2,3.41,Islam,Male
West,Self Employed,855.225,3,120.5,Islam,Male
West,Employed,1322.01,6,81.82,Christianity,Female
West,Self Employed,410.76,2,51.68,Islam,Male
West,Employed,773.4,10,46.27,Christianity,Female
West,Self Employed,122.325,5,19.9,Islam,Male
West,Self Employed,121.5,5,13.91,Islam,Male
West,Self Employed,182.625,5,12.55,Islam,Female
West,Employed,142.905,7,8.59,Christianity,Male
West,Self Employed,59.775,5,6.6,Islam,Female
West,Employed,121.905,9,5.63,Christianity,Male
West,Employed,69.9,5,4.92,Christianity,Male
West,Self Employed,36.75,5,3.16,Islam,Female
West,Employed,45.15,2,3.11,Christianity,Male
West,Self Employed,6.81,2,1.64,Islam,Female
West,Employed,3399.66,12,286.87,Christianity,Male
East,Self Employed,468.72,7,83.29,Islam,Male
North,Self Employed,321.75,5,57.83,Islam,Female
West,Employed,570.285,3,33.99,Christianity,Male
West,Employed,149.31,6,13.63,Traditional,Female
West,Self Employed,190.815,1,12.34,Christianity,Male
East,Self Employed,56.82,2,10.16,Islam,Male
North,Self Employed,47.49,2,8.88,Islam,Female
West,Self Employed,139.125,5,8.72,Christianity,Male
West,Unemployed,68.79,2,5.99,Christianity,Female
West,Self Employed,87.96,4,5.98,Christianity,Male
West,Self Employed,73.95,5,5.57,Christianity,Male
West,Self Employed,79.92,3,5.48,Christianity,Female
East,Self Employed,55.14,2,4.91,Islam,Male
West,Employed,39.6,5,4.59,Islam,Female
North,Self Employed,20.43,6,4.48,Islam,Male
West,Employed,93.915,3,4.32,Christianity,Male
West,Employed,45.9,5,3.86,Traditional,Female
West,Employed,27.87,2,3.68,Traditional,Male
West,Self Employed,50.4,5,3.62,Christianity,Female
West,Self Employed,52.62,2,2.59,Christianity,Male
West,Self Employed,37.62,3,2.51,Christianity,Male
West,Self Employed,37.8,3,2.19,Traditional,Female
West,Self Employed,28.56,7,1.96,Christianity,Male
West,Self Employed,16.98,4,1.77,Christianity,Female
West,Self Employed,20.4,5,1.3,Christianity,Male
West,Self Employed,34.35,5,1.3,Christianity,Male
West,Self Employed,143.22,2,10.56,Christianity,Female
East,Employed,29.22,2,1.2,Christianity,Male
North,Self Employed,468.315,3,70.77,Islam,Female
North,Employed,169.92,3,21.98,Christianity,Male
West,Employed,174.465,3,15.52,Christianity,Male
West,Employed,178.68,1,14.98,Christianity,Female
North,Self Employed,26.775,3,7.03,Islam,Male
West,Self Employed,74.34,6,5.89,Christianity,Female
West,Self Employed,54.36,6,3.62,Christianity,Male
West,Employed,86.805,3,3.6,Christianity,Male
West,Self Employed,32.94,6,2.84,Christianity,Female
West,Employed,25.2,5,2.64,Christianity,Male
West,Self Employed,17.82,4,2.58,Islam,Female
West,Self Employed,29.79,2,2.23,Christianity,Male
North,Self Employed,13.8,2,2.09,Islam,Male
West,Self Employed,29.91,2,1.86,Christianity,Female
West,Self Employed,25.26,1,1.64,Christianity,Male
West,Self Employed,20.7,3,1.44,Christianity,Female
North,Self Employed,39.6,5,8.58,Islam,Male
North,Self Employed,22.56,1,3.88,Islam,Male
West,Self Employed,73.44,3,1.43,Christianity,Female
East,Self Employed,182.295,3,17.96,Christianity,Male
West,Self Employed,2575.92,4,256.87,Islam,Female
West,Self Employed,1572.84,6,207.49,Islam,Male
West,Employed,546.48,8,61.5,Christianity,Male
North,Unemployed,162.54,6,34.36,Islam,Female
West,Self Employed,190.98,6,31.28,Islam,Male
West,Self Employed,197.49,1,23.23,Islam,Female
West,Employed,238.8,2,22.48,Christianity,Male
West,Self Employed,119.64,1,16.19,Islam,Male
West,Employed,218.76,4,13.82,Christianity,Female
North,Self Employed,19.86,1,4.93,Islam,Male
North,Unemployed,24.78,1,4.43,Islam,Female
West,Employed,56.34,1,3.61,Christianity,Male
North,Self Employed,58.32,2,3.46,Islam,Male
West,Self Employed,26.25,1,2.87,Islam,Female
West,Self Employed,33.18,2,1.62,Christianity,Male
West,Self Employed,7.62,1,1.11,Islam,Female
West,Self Employed,1660.8,4,244.07,Islam,Male
East,Employed,207.81,1,41.38,Islam,Male
West,Self Employed,335.58,14,34.44,Islam,Female
West,Self Employed,297.3,2,24.59,Islam,Male
East,Employed,166.14,1,7.76,Islam,Female
West,Self Employed,45.6,8,3.58,Islam,Male
West,Self Employed,169.68,1,11.82,Christianity,Male
West,Unemployed,102.9,2,8.13,Traditional,Female
North,Self Employed,15.48,1,3.06,Islam,Male
North,Self Employed,232.08,8,65.26,Islam,Female
West,Employed,911.88,6,44.06,Islam,Male
West,Employed,214.14,2,24.74,Islam,Male
West,Employed,198.45,1,24.28,Islam,Female
West,Employed,148.59,1,20.88,Islam,Male
West,Unemployed,711.84,2,18.39,Christianity,Female
West,Employed,102.9,2,18.15,Islam,Male
West,Employed,132.48,1,14.29,Islam,Male
East,Self Employed,32.19,1,10.32,Atheist,Female
West,Unemployed,109.95,1,6.94,Christianity,Male
West,Unemployed,56.16,4,4.27,Christianity,Female
West,Employed,47.04,1,3.94,Islam,Male
West,Unemployed,51.63,1,2.42,Christianity,Male
North,Employed,252.18,2,96.53,Atheist,Female
West,Employed,570.9,1,31.39,Christianity,Male
North,Employed,74.49,1,30.38,Atheist,Female
North,Employed,63.66,2,13.19,Atheist,Male
North,Employed,16.02,1,4.09,Atheist,Male
West,Self Employed,41.73,1,2.46,Christianity,Female
West,Employed,12.57,1,1.96,Christianity,Male
East,Employed,246.48,8,55.34,Atheist,Female
West,Unemployed,513.6,4,47.52,Christianity,Male
West,Unemployed,570.15,1,38.68,Christianity,Male
West,Self Employed,512.34,2,38.32,Christianity,Female
West,Unemployed,435.99,1,18.42,Christianity,Male
West,Self Employed,142.74,6,9.21,Christianity,Female
West,Unemployed,60.6,4,3.06,Christianity,Male
West,Unemployed,23.7,1,1.3,Christianity,Male
West,Self Employed,170.04,1,16.07,Christianity,Female
North,Employed,99.48,2,13.2,Islam,Male
West,Self Employed,149.82,1,11.16,Christianity,Female
West,Self Employed,9.27,1,1.61,Christianity,Male
West,Self Employed,1652.4,4,158.43,Christianity,Male
West,Self Employed,261.03,1,36.14,Islam,Female
South,Self Employed,142.89,1,28.6,Islam,Male
West,Self Employed,190.62,2,22.72,Islam,Female
South,Self Employed,126.15,1,19.53,Islam,Male
West,Self Employed,106.92,1,13.55,Islam,Male
West,Self Employed,62.31,1,8.55,Islam,Female
East,Unemployed,48.45,1,7.49,Christianity,Male
West,Self Employed,56.34,1,4.54,Christianity,Female
West,Self Employed,54.6,4,4.48,Christianity,Male
West,Self Employed,48.3,2,4.22,Islam,Male
West,Self Employed,18.93,1,1.53,Christianity,Female
East,Self Employed,1391.52,8,344.5,Atheist,Male
West,Self Employed,826.56,2,104.07,Islam,Female
West,Self Employed,95.28,4,7.17,Christianity,Male
West,Self Employed,47.43,1,3.23,Christianity,Male
West,Self Employed,46.59,1,2.87,Christianity,Female
West,Self Employed,26.37,1,1.64,Christianity,Male
West,Employed,13.98,1,1.53,Christianity,Female
West,Employed,22.14,1,1.38,Christianity,Male
West,Unemployed,29.04,4,2.15,Christianity,Male
South,Self Employed,724.8,2,96.56,Islam,Female
South,Self Employed,85.71,1,17.04,Islam,Male
East,Unemployed,113.76,2,13.82,Christianity,Female
East,Unemployed,86.85,1,7.13,Christianity,Male
West,Employed,198.45,1,5.96,Christianity,Male
South,Self Employed,27.66,2,4.02,Islam,Female
West,Self Employed,34.8,4,2.68,Christianity,Male
West,Unemployed,829.32,4,83.89,Christianity,Female
West,Employed,531.18,1,75.39,Islam,Male
West,Employed,207.33,1,18.92,Christianity,Male
West,Self Employed,101.46,2,8.21,Christianity,Female
West,Unemployed,107.07,1,8.15,Christianity,Male
North,Unemployed,63.66,2,3.73,Islam,Female
West,Unemployed,98.46,2,9.71,Christianity,Male
South,Employed,60.6,4,8.75,Islam,Male
West,Self Employed,31.35,1,2.2,Christianity,Female
West,Employed,1680.3,10,143.59,Christianity,Male
East,Self Employed,148.68,4,37.99,Atheist,Female
West,Employed,336.45,1,33.79,Christianity,Male
West,Employed,187.92,2,30.28,Islam,Male
West,Employed,295.92,6,16.47,Islam,Female
West,Employed,272.52,4,16.06,Islam,Male
West,Self Employed,166.83,1,13.93,Christianity,Female
West,Employed,60.75,1,10.82,Islam,Male
West,Employed,54.96,1,4.83,Christianity,Male
West,Employed,46.44,2,2.85,Christianity,Female
West,Employed,46.92,2,2.61,Christianity,Male
West,Employed,22.86,2,2.21,Islam,Female
West,Employed,27,2,2.13,Islam,Male
West,Employed,17.52,2,2,Christianity,Male
West,Employed,11.37,1,1.53,Islam,Female
West,Self Employed,143.22,1,17.64,Christianity,Male
West,Self Employed,50.79,1,5.54,Christianity,Female
North,Employed,12.69,1,4.01,Islam,Male
West,Employed,11.43,1,1.73,Islam,Male
West,Employed,16.86,1,1.3,Islam,Female
West,Self Employed,18.66,1,1.08,Christianity,Male
West,Employed,455.52,1,57,Traditional,Female
North,Employed,113.76,2,36.27,Atheist,Male
North,Self Employed,24,1,5.32,Islam,Male
North,Self Employed,194.34,2,4.21,Islam,Female
West,Unemployed,198.9,1,37.6,Islam,Male
West,Self Employed,489,4,36.03,Christianity,Female
West,Unemployed,304.8,8,31.06,Islam,Male
West,Self Employed,491.76,4,27.75,Christianity,Male
West,Self Employed,126.15,1,7.47,Christianity,Female
West,Self Employed,59.58,2,7.03,Islam,Male
North,Employed,16.74,1,6.42,Atheist,Female
North,Employed,29.16,1,3.48,Atheist,Male
West,Self Employed,47.61,1,3.45,Christianity,Male
West,Unemployed,48.06,2,2.79,Christianity,Female
North,Employed,9.03,1,1.84,Atheist,Male
East,Self Employed,198,4,29.4,Christianity,Female
West,Employed,177.06,2,6.84,Christianity,Male
East,Self Employed,60.54,2,4.02,Christianity,Male
West,Self Employed,31.08,2,1.96,Christianity,Female
West,Unemployed,10.53,1,1.81,Christianity,Male
West,Self Employed,360.21,1,29.78,Christianity,Female
North,Unemployed,18.87,1,4.54,Atheist,Male
West,Self Employed,18.93,1,2,Christianity,Male
West,Self Employed,19.5,1,1.54,Christianity,Female
West,Unemployed,517.47,1,45.14,Christianity,Male
West,Unemployed,333.9,2,29.89,Christianity,Female
West,Unemployed,340.68,2,25.31,Christianity,Male
West,Unemployed,341.46,2,24.37,Christianity,Male
West,Unemployed,160.2,4,14.8,Christianity,Female
West,Unemployed,110.34,6,4.47,Christianity,Male
West,Unemployed,47.58,2,2.72,Christianity,Female
South,Self Employed,1554.48,8,366.58,Islam,Male
North,Self Employed,142.8,1,17.08,Christianity,Male
West,Employed,1093.2,8,42.17,Christianity,Female
West,Employed,37.14,1,3.39,Christianity,Male
West,Employed,32.13,1,2.94,Christianity,Female
West,Employed,15.57,1,1.08,Christianity,Male
West,Employed,1031.04,8,101.7,Christianity,Male
West,Employed,459.39,1,45.4,Christianity,Female
West,Employed,268.5,1,22.15,Christianity,Male
West,Self Employed,127.89,1,7.34,Traditional,Female
North,Employed,49.77,1,6.64,Christianity,Male
West,Employed,49.74,1,3.07,Christianity,Male
West,Employed,27.27,1,1.7,Christianity,Female
West,Self Employed,24.96,2,1.7,Christianity,Male
West,Employed,29.28,2,1.44,Christianity,Female
East,Self Employed,788.4,4,51.94,Christianity,Male
West,Self Employed,244.14,2,19.79,Christianity,Male
West,Self Employed,86.22,6,9.39,Christianity,Female
West,Unemployed,880.32,8,81.21,Christianity,Male
South,Employed,96.78,2,12.28,Islam,Female
South,Employed,113.04,4,2.09,Islam,Male
West,Employed,48.87,1,3.97,Christianity,Male
West,Employed,13.26,1,1.53,Christianity,Female
East,Employed,1272.42,2,87.08,Christianity,Male
East,Employed,163.5,2,13.5,Christianity,Female
West,Self Employed,678.96,4,56.18,Christianity,Male
West,Self Employed,880.74,6,47.53,Christianity,Male
South,Employed,204.15,1,26.93,Christianity,Female
West,Self Employed,112.2,1,14.05,Islam,Male
West,Self Employed,257.85,1,11.11,Christianity,Female
West,Self Employed,75.72,4,6.85,Christianity,Male
West,Unemployed,26.28,1,3.76,Islam,Male
West,Self Employed,27.96,2,3.59,Islam,Female
South,Employed,25.8,2,3.4,Christianity,Male
West,Self Employed,51.27,1,3.05,Christianity,Female
South,Employed,29.16,1,2.72,Christianity,Male
West,Self Employed,10.8,1,1.66,Christianity,Male
West,Self Employed,11.82,2,1.62,Christianity,Female
West,Self Employed,22.2,2,1.31,Christianity,Male
West,Self Employed,756.6,2,51.34,Christianity,Female
West,Self Employed,254.58,1,9.64,Christianity,Male
West,Self Employed,79.74,1,8.24,Christianity,Male
West,Self Employed,83.4,2,7.56,Christianity,Female
West,Self Employed,95.64,2,4.66,Christianity,Male
West,Self Employed,48.69,1,2.35,Christianity,Female
West,Self Employed,52.62,1,2.27,Christianity,Male
West,Self Employed,10.8,1,1.58,Christianity,Male
West,Self Employed,16.98,1,1.42,Christianity,Female
North,Employed,34.2,2,7.5,Islam,Male
West,Employed,3312.24,8,209.36,Christianity,Female
West,Unemployed,195.12,4,15.16,Christianity,Male
East,Unemployed,12.36,1,2.92,Islam,Male
West,Employed,14.7,1,1.82,Christianity,Female
West,Self Employed,30.69,1,1.7,Christianity,Male
West,Employed,19.08,4,1.48,Christianity,Female
West,Employed,25.8,4,1.44,Christianity,Male
East,Unemployed,8.58,1,1.39,Islam,Male
West,Employed,17.52,1,1.25,Christianity,Female
East,Self Employed,635.04,8,150.05,Atheist,Male
East,Self Employed,336.72,2,80.34,Atheist,Female
East,Self Employed,174.12,4,35.15,Islam,Male
North,Employed,23.76,1,6.06,Christianity,Male
West,Self Employed,42.96,4,5.18,Islam,Female
West,Unemployed,29.61,1,3.06,Christianity,Male
West,Unemployed,25.32,4,2,Christianity,Female
West,Self Employed,22.29,1,1.49,Christianity,Male
West,Unemployed,13.17,1,1.46,Christianity,Male
West,Employed,12.24,2,1.41,Christianity,Female
